pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
875.0,1252,21.4,4.4,25.0,5.0,-2.1130913087034973,-4.531538935183249,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
871.0,1292,20.0,1.0,313.0,3.0,2.194061104857511,-2.0459950801874958,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
867.0,1332,19.6,1.4,240.0,1.0,0.8660254037844384,0.5000000000000004,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
861.0,1392,19.1,1.9,225.0,1.0,0.7071067811865475,0.7071067811865477,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
850.0,1504,18.0,3.0,275.0,2.0,1.992389396183491,-0.17431148549531578,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
832.0,1684,16.2,2.6,320.0,3.0,1.9283628290596186,-2.2981333293569333,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
821.0,1796,15.2,2.3,315.0,4.0,2.8284271247461907,-2.8284271247461894,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
813.0,1879,14.3,2.1,325.0,4.0,2.294305745404186,-3.2766081771559663,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
802.0,1993,13.2,1.9,325.0,5.0,2.8678821817552325,-4.095760221444958,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
792.0,2099,12.2,1.6,290.0,5.0,4.698463103929542,-1.7101007166283448,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
778.0,2249,10.7,1.3,250.0,4.0,3.7587704831436337,1.3680805733026742,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
768.0,2358,9.7,1.0,245.0,4.0,3.6252311481466,1.6904730469627967,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
760.0,2446,8.8,0.8,249.0,5.0,4.667902132486008,1.7918397477265036,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
758.0,2468,8.6,0.5,250.0,5.0,4.698463103929543,1.7101007166283426,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
746.0,2599,7.6,-1.1,265.0,4.0,3.984778792366982,0.348622970990633,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
734.0,2732,6.5,-2.8,330.0,4.0,2.0000000000000018,-3.4641016151377535,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
722.0,2868,5.5,-4.5,320.0,7.0,4.499513267805777,-5.362311101832844,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
721.0,2879,5.4,-4.6,321.0,7.0,4.405242737348865,-5.440021730198794,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
712.0,2982,4.6,-5.4,325.0,7.0,4.015035054457325,-5.734064310022941,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
700.0,3120,3.6,-6.4,340.0,4.0,1.3680805733026744,-3.7587704831436337,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
699.0,3132,3.4,-6.6,340.0,4.0,1.3680805733026744,-3.7587704831436337,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
691.0,3224,2.6,-6.8,340.0,4.0,1.3680805733026744,-3.7587704831436337,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
681.0,3340,1.6,-7.0,335.0,4.0,1.6904730469627969,-3.6252311481466,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
661.0,3579,-0.4,-7.5,350.0,7.0,1.2155372436685128,-6.893654271085456,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
633.0,3925,-3.4,-8.2,305.0,6.0,4.914912265733951,-3.4414586181062763,EPZ,72364,2026-02-11,31.86,-106.7,1252.0,14.95
